time,speechWorkload,overall
0,0.0,ol
1,0.0,ol
2,0.0,ol
3,0.0,ol
4,0.0,ol
5,0.0,ol
6,0.0,ol
7,0.0,ol
8,0.0,ol
9,0.0,ol
10,0.0,ol
11,0.0,ol
12,0.0,ol
13,0.0,ol
14,0.0,ol
15,0.0,ol
16,0.0,ol
17,0.0,ol
18,0.0,ol
19,0.0,ol
20,0.0,ol
21,0.0,ol
22,0.0,ol
23,0.0,ol
24,0.0,ol
25,0.0,ol
26,0.0,ol
27,0.0,ol
28,0.0,ol
29,0.0,ol
30,0.0,ol
31,0.0,ol
32,0.0,ol
33,0.0,ol
34,0.0,ol
35,0.0,ol
36,4.0,ol
37,4.0,ol
38,4.0,ol
39,4.0,ol
40,4.0,ol
41,4.0,ol
42,4.0,ol
43,4.0,ol
44,0.0,ol
45,0.0,ol
46,0.0,ol
47,0.0,ol
48,0.0,ol
49,0.0,ol
50,0.0,ol
51,0.0,ol
52,0.0,ol
53,0.0,ol
54,0.0,ol
55,0.0,ol
56,4.0,ol
57,4.0,ol
58,4.0,ol
59,4.0,ol
60,4.0,ol
61,4.0,ol
62,4.0,ol
63,0.0,ol
64,0.0,ol
65,0.0,ol
66,0.0,ol
67,0.0,ol
68,0.0,ol
69,0.0,ol
70,0.0,ol
71,0.0,ol
72,0.0,ol
73,0.0,ol
74,0.0,ol
75,0.0,ol
76,0.0,ol
77,0.0,ol
78,0.0,ol
79,0.0,ol
80,0.0,ol
81,0.0,ol
82,0.0,ol
83,0.0,ol
84,0.0,ol
85,0.0,ol
86,0.0,ol
87,0.0,ol
88,0.0,ol
89,0.0,ol
90,0.0,ol
91,0.0,ol
92,0.0,ol
93,0.0,ol
94,0.0,ol
95,0.0,ol
96,4.0,ol
97,4.0,ol
98,4.0,ol
99,4.0,ol
100,4.0,ol
101,4.0,ol
102,0.0,ol
103,0.0,ol
104,0.0,ol
105,0.0,ol
106,0.0,ol
107,0.0,ol
108,0.0,ol
109,0.0,ol
110,0.0,ol
111,0.0,ol
112,0.0,ol
113,0.0,ol
114,4.0,ol
115,4.0,ol
116,4.0,ol
117,4.0,ol
118,4.0,ol
119,4.0,ol
120,4.0,ol
121,4.0,ol
122,4.0,ol
123,0.0,ol
124,0.0,ol
125,0.0,ol
126,0.0,ol
127,0.0,ol
128,0.0,ol
129,0.0,ol
130,0.0,ol
131,0.0,ol
132,0.0,ol
133,0.0,ol
134,0.0,ol
135,0.0,ol
136,0.0,ol
137,0.0,ol
138,0.0,ol
139,0.0,ol
140,0.0,ol
141,0.0,ol
142,0.0,ol
143,0.0,ol
144,0.0,ol
145,0.0,ol
146,4.0,ol
147,4.0,ol
148,4.0,ol
149,4.0,ol
150,4.0,ol
151,4.0,ol
152,4.0,ol
153,4.0,ol
154,0.0,ol
155,0.0,ol
156,0.0,ol
157,0.0,ol
158,0.0,ol
159,0.0,ol
160,0.0,ol
161,0.0,ol
162,0.0,ol
163,0.0,ol
164,0.0,ol
165,0.0,ol
166,0.0,ol
167,0.0,ol
168,0.0,ol
169,4.0,ol
170,4.0,ol
171,4.0,ol
172,4.0,ol
173,4.0,ol
174,4.0,ol
175,4.0,ol
176,4.0,ol
177,4.0,ol
178,4.0,ol
179,0.0,ol
180,0.0,ol
181,0.0,ol
182,0.0,ol
183,0.0,ol
184,0.0,ol
185,0.0,ol
186,0.0,ol
187,0.0,ol
188,0.0,ol
189,0.0,ol
190,0.0,ol
191,0.0,ol
192,0.0,ol
193,0.0,ol
194,0.0,ol
195,0.0,ol
196,0.0,ol
197,0.0,ol
198,0.0,ol
199,0.0,ol
200,0.0,ol
201,0.0,ol
202,0.0,ol
203,0.0,ol
204,0.0,ol
205,0.0,ol
206,0.0,ol
207,0.0,ol
208,0.0,ol
209,0.0,ol
210,0.0,ol
211,4.0,ol
212,4.0,ol
213,4.0,ol
214,4.0,ol
215,4.0,ol
216,4.0,ol
217,4.0,ol
218,4.0,ol
219,4.0,ol
220,4.0,ol
221,4.0,ol
222,4.0,ol
223,0.0,ol
224,0.0,ol
225,0.0,ol
226,0.0,ol
227,0.0,ol
228,0.0,ol
229,0.0,ol
230,0.0,ol
231,0.0,ol
232,0.0,ol
233,0.0,ol
234,0.0,ol
235,0.0,ol
236,0.0,ol
237,0.0,ol
238,0.0,ol
239,0.0,ol
240,0.0,ol
241,0.0,ol
242,0.0,ol
243,0.0,ol
244,0.0,ol
245,0.0,ol
246,4.0,ol
247,4.0,ol
248,4.0,ol
249,4.0,ol
250,4.0,ol
251,0.0,ol
252,0.0,ol
253,0.0,ol
254,0.0,ol
255,0.0,ol
256,0.0,ol
257,0.0,ol
258,0.0,ol
259,0.0,ol
260,0.0,ol
261,0.0,ol
262,0.0,ol
263,0.0,ol
264,0.0,ol
265,0.0,ol
266,0.0,ol
267,0.0,ol
268,0.0,ol
269,0.0,ol
270,0.0,ol
271,0.0,ol
272,0.0,ol
273,0.0,ol
274,0.0,ol
275,0.0,ol
276,0.0,ol
277,0.0,ol
278,0.0,ol
279,0.0,ol
280,0.0,ol
281,0.0,ol
282,0.0,ol
283,0.0,ol
284,0.0,ol
285,0.0,ol
286,0.0,ol
287,0.0,ol
288,0.0,ol
289,0.0,ol
290,0.0,ol
291,0.0,ol
292,0.0,ol
293,0.0,ol
294,0.0,ol
295,0.0,ol
296,0.0,ol
297,0.0,ol
298,0.0,ol
299,0.0,ol
300,0.0,ol
301,0.0,ol
302,0.0,ol
303,0.0,ol
304,0.0,ol
305,0.0,ol
306,0.0,ol
307,0.0,ol
308,0.0,ol
309,0.0,ol
310,0.0,ol
311,0.0,ol
312,0.0,ol
313,4.0,ol
314,4.0,ol
315,4.0,ol
316,4.0,ol
317,4.0,ol
318,4.0,ol
319,4.0,ol
320,4.0,ol
321,4.0,ol
322,4.0,ol
323,0.0,ol
324,0.0,ol
325,0.0,ol
326,0.0,ol
327,0.0,ol
328,0.0,ol
329,0.0,ol
330,0.0,ul
331,0.0,ul
332,0.0,ul
333,0.0,ul
334,0.0,ul
335,0.0,ul
336,0.0,ul
337,0.0,ul
338,0.0,ul
339,0.0,ul
340,0.0,ul
341,0.0,ul
342,0.0,ul
343,0.0,ul
344,0.0,ul
345,0.0,ul
346,0.0,ul
347,0.0,ul
348,0.0,ul
349,0.0,ul
350,0.0,ul
351,0.0,ul
352,0.0,ul
353,0.0,ul
354,0.0,ul
355,0.0,ul
356,0.0,ul
357,0.0,ul
358,0.0,ul
359,0.0,ul
360,0.0,ul
361,0.0,ul
362,0.0,ul
363,0.0,ul
364,0.0,ul
365,0.0,ul
366,0.0,ul
367,0.0,ul
368,0.0,ul
369,0.0,ul
370,0.0,ul
371,0.0,ul
372,0.0,ul
373,0.0,ul
374,0.0,ul
375,0.0,ul
376,0.0,ul
377,0.0,ul
378,0.0,ul
379,0.0,ul
380,0.0,ul
381,0.0,ul
382,0.0,ul
383,0.0,ul
384,0.0,ul
385,0.0,ul
386,0.0,ul
387,0.0,ul
388,0.0,ul
389,0.0,ul
390,0.0,ul
391,0.0,ul
392,0.0,ul
393,0.0,ul
394,0.0,ul
395,0.0,ul
396,0.0,ul
397,0.0,ul
398,0.0,ul
399,0.0,ul
400,0.0,ul
401,0.0,ul
402,0.0,ul
403,0.0,ul
404,0.0,ul
405,0.0,ul
406,0.0,ul
407,0.0,ul
408,0.0,ul
409,0.0,ul
410,0.0,ul
411,0.0,ul
412,0.0,ul
413,0.0,ul
414,0.0,ul
415,0.0,ul
416,0.0,ul
417,0.0,ul
418,0.0,ul
419,0.0,ul
420,0.0,ul
421,0.0,ul
422,0.0,ul
423,0.0,ul
424,0.0,ul
425,0.0,ul
426,0.0,ul
427,0.0,ul
428,0.0,ul
429,0.0,ul
430,0.0,ul
431,0.0,ul
432,0.0,ul
433,0.0,ul
434,0.0,ul
435,0.0,ul
436,0.0,ul
437,0.0,ul
438,0.0,ul
439,0.0,ul
440,0.0,ul
441,0.0,ul
442,0.0,ul
443,0.0,ul
444,0.0,ul
445,0.0,ul
446,0.0,ul
447,0.0,ul
448,0.0,ul
449,0.0,ul
450,0.0,ul
451,0.0,ul
452,0.0,ul
453,0.0,ul
454,0.0,ul
455,0.0,ul
456,0.0,ul
457,0.0,ul
458,0.0,ul
459,0.0,ul
460,0.0,ul
461,0.0,ul
462,0.0,ul
463,0.0,ul
464,0.0,ul
465,0.0,ul
466,0.0,ul
467,0.0,ul
468,0.0,ul
469,0.0,ul
470,0.0,ul
471,0.0,ul
472,0.0,ul
473,0.0,ul
474,0.0,ul
475,0.0,ul
476,0.0,ul
477,0.0,ul
478,0.0,ul
479,0.0,ul
480,0.0,ul
481,0.0,ul
482,0.0,ul
483,0.0,ul
484,0.0,ul
485,0.0,ul
486,0.0,ul
487,0.0,ul
488,0.0,ul
489,0.0,ul
490,0.0,ul
491,0.0,ul
492,0.0,ul
493,0.0,ul
494,0.0,ul
495,0.0,ul
496,0.0,ul
497,0.0,ul
498,0.0,ul
499,0.0,ul
500,0.0,ul
501,0.0,ul
502,0.0,ul
503,0.0,ul
504,0.0,ul
505,0.0,ul
506,0.0,ul
507,0.0,ul
508,0.0,ul
509,0.0,ul
510,0.0,ul
511,0.0,ul
512,0.0,ul
513,0.0,ul
514,0.0,ul
515,0.0,ul
516,0.0,ul
517,0.0,ul
518,0.0,ul
519,0.0,ul
520,0.0,ul
521,0.0,ul
522,0.0,ul
523,0.0,ul
524,0.0,ul
525,0.0,ul
526,0.0,ul
527,0.0,ul
528,0.0,ul
529,0.0,ul
530,0.0,ul
