time,speechWorkload,condition
0,0.0,low
1,0.0,low
2,0.0,low
3,0.0,low
4,0.0,low
5,0.0,low
6,0.0,low
7,0.0,low
8,0.0,low
9,0.0,low
10,0.0,low
11,0.0,low
12,0.0,low
13,0.0,low
14,0.0,low
15,0.0,low
16,4.0,low
17,4.0,low
18,4.0,low
19,0.0,low
20,4.0,low
21,4.0,low
22,4.0,low
23,4.0,low
24,4.0,low
25,4.0,low
26,0.0,low
27,0.0,low
28,4.0,low
29,4.0,low
30,4.0,low
31,0.0,low
32,0.0,low
33,0.0,low
34,0.0,low
35,4.0,low
36,4.0,low
37,4.0,low
38,4.0,low
39,4.0,low
40,4.0,low
41,4.0,low
42,4.0,low
43,4.0,low
44,0.0,low
45,0.0,low
46,0.0,low
47,0.0,low
48,0.0,low
49,0.0,low
50,0.0,low
51,0.0,low
52,0.0,low
53,0.0,low
54,0.0,low
55,0.0,low
56,0.0,low
57,0.0,low
58,0.0,low
59,0.0,low
60,0.0,low
61,0.0,low
62,0.0,low
63,0.0,low
64,0.0,low
65,0.0,low
66,0.0,low
67,0.0,low
68,0.0,low
69,0.0,low
70,0.0,low
71,0.0,low
72,0.0,low
73,0.0,low
74,0.0,low
75,0.0,low
76,2.0,low
77,2.0,low
78,2.0,low
79,2.0,low
80,2.0,low
81,2.0,low
82,2.0,low
83,2.0,low
84,2.0,low
85,2.0,low
86,2.0,low
87,2.0,low
88,2.0,low
89,2.0,low
90,2.0,low
91,2.0,low
92,2.0,low
93,2.0,low
94,2.0,low
95,2.0,low
96,2.0,low
97,2.0,low
98,2.0,low
99,2.0,low
100,2.0,low
101,2.0,low
102,2.0,low
103,2.0,low
104,2.0,low
105,2.0,low
106,2.0,low
107,2.0,low
108,2.0,low
109,2.0,low
110,2.0,low
111,2.0,low
112,2.0,low
113,2.0,low
114,2.0,low
115,2.0,low
116,2.0,low
117,2.0,low
118,2.0,low
119,2.0,low
120,2.0,low
121,2.0,low
122,2.0,low
123,2.0,low
124,2.0,low
125,2.0,low
126,2.0,low
127,2.0,low
128,2.0,low
129,2.0,low
130,2.0,low
131,2.0,low
132,2.0,low
133,2.0,low
134,2.0,low
135,2.0,low
136,2.0,low
137,2.0,low
138,2.0,low
139,2.0,low
140,2.0,low
141,2.0,low
142,2.0,low
143,2.0,low
144,2.0,low
145,2.0,low
146,2.0,low
147,2.0,low
148,2.0,low
149,2.0,low
150,2.0,low
151,2.0,low
152,2.0,low
153,2.0,low
154,2.0,low
155,2.0,low
156,2.0,low
157,2.0,low
158,2.0,low
159,2.0,low
160,2.0,low
161,2.0,low
162,2.0,low
163,2.0,low
164,2.0,low
165,2.0,low
166,2.0,low
167,2.0,low
168,2.0,low
169,2.0,low
170,2.0,low
171,2.0,low
172,2.0,low
173,2.0,low
174,2.0,low
175,2.0,low
176,2.0,low
177,2.0,low
178,2.0,low
179,2.0,low
180,2.0,low
181,2.0,low
182,2.0,low
183,2.0,low
184,2.0,low
185,2.0,low
186,2.0,low
187,2.0,low
188,2.0,low
189,2.0,low
190,2.0,low
191,2.0,low
192,2.0,low
193,2.0,low
194,2.0,low
195,2.0,low
196,2.0,low
197,2.0,low
198,2.0,low
199,2.0,low
200,2.0,low
201,2.0,low
202,2.0,low
203,2.0,low
204,2.0,low
205,2.0,low
206,2.0,low
207,2.0,low
208,2.0,low
209,2.0,low
210,2.0,low
211,2.0,low
212,2.0,low
213,2.0,low
214,2.0,low
215,2.0,low
216,2.0,low
217,2.0,low
218,2.0,low
219,2.0,low
220,2.0,low
221,2.0,low
222,2.0,low
223,2.0,low
224,2.0,low
225,0.0,low
226,0.0,low
227,0.0,low
228,0.0,low
229,0.0,low
230,0.0,low
231,0.0,low
232,0.0,low
233,0.0,low
234,0.0,low
235,0.0,low
236,0.0,low
237,0.0,low
238,0.0,low
239,0.0,low
240,0.0,low
241,0.0,low
242,0.0,low
243,0.0,low
244,0.0,low
245,4.0,low
246,4.0,low
247,0.0,low
248,0.0,low
249,0.0,low
250,0.0,low
251,0.0,low
252,0.0,low
253,0.0,low
254,0.0,low
255,0.0,low
256,4.0,low
257,0.0,low
258,0.0,low
259,0.0,low
260,0.0,low
261,0.0,low
262,4.0,low
263,0.0,low
264,0.0,low
265,0.0,low
266,0.0,low
267,4.0,low
268,4.0,low
269,4.0,low
270,4.0,low
271,4.0,low
272,4.0,low
273,4.0,low
274,0.0,low
275,0.0,low
276,4.0,low
277,4.0,low
278,4.0,low
279,4.0,low
280,4.0,low
281,4.0,low
282,4.0,low
283,0.0,low
284,0.0,low
285,0.0,low
286,0.0,low
287,0.0,low
288,0.0,low
289,0.0,low
290,0.0,low
291,4.0,low
292,4.0,low
293,4.0,low
294,4.0,low
295,4.0,low
296,4.0,low
297,4.0,low
298,4.0,low
299,4.0,low
300,0.0,low
301,0.0,low
302,0.0,low
303,0.0,low
304,0.0,low
305,0.0,low
306,0.0,low
307,0.0,low
308,0.0,low
309,0.0,low
310,0.0,low
311,2.0,low
312,0.0,low
313,0.0,low
314,0.0,low
315,0.0,low
316,0.0,low
317,0.0,low
318,0.0,low
319,0.0,low
320,2.0,low
321,2.0,low
322,2.0,low
323,2.0,low
324,2.0,low
325,2.0,low
326,2.0,low
327,2.0,low
328,2.0,low
329,2.0,low
330,2.0,low
331,2.0,low
332,2.0,low
333,2.0,low
334,2.0,low
335,2.0,low
336,2.0,low
337,2.0,low
338,2.0,low
339,2.0,low
340,2.0,low
341,2.0,low
342,2.0,low
343,2.0,low
344,2.0,low
345,2.0,low
346,2.0,low
347,2.0,low
348,2.0,low
349,2.0,low
350,2.0,low
351,2.0,low
352,2.0,low
353,2.0,low
354,2.0,low
355,2.0,low
356,2.0,low
357,2.0,low
358,2.0,low
359,2.0,low
360,2.0,low
361,2.0,low
362,2.0,low
363,2.0,low
364,2.0,low
365,2.0,low
366,2.0,low
367,2.0,low
368,2.0,low
369,2.0,low
370,2.0,low
371,2.0,low
372,2.0,low
373,2.0,low
374,2.0,low
375,2.0,low
376,2.0,low
