time,speechWorkload,condition
0,0.0,high
1,0.0,high
2,0.0,high
3,0.0,high
4,0.0,high
5,0.0,high
6,0.0,high
7,0.0,high
8,0.0,high
9,0.0,high
10,0.0,high
11,0.0,high
12,0.0,high
13,0.0,high
14,0.0,high
15,4.0,high
16,4.0,high
17,0.0,high
18,0.0,high
19,4.0,high
20,4.0,high
21,4.0,high
22,4.0,high
23,4.0,high
24,4.0,high
25,0.0,high
26,0.0,high
27,4.0,high
28,4.0,high
29,4.0,high
30,0.0,high
31,0.0,high
32,0.0,high
33,4.0,high
34,4.0,high
35,4.0,high
36,4.0,high
37,4.0,high
38,4.0,high
39,4.0,high
40,4.0,high
41,4.0,high
42,0.0,high
43,0.0,high
44,0.0,high
45,0.0,high
46,0.0,high
47,0.0,high
48,0.0,high
49,0.0,high
50,0.0,high
51,0.0,high
52,0.0,high
53,0.0,high
54,0.0,high
55,0.0,high
56,0.0,high
57,0.0,high
58,0.0,high
59,0.0,high
60,0.0,high
61,0.0,high
62,0.0,high
63,0.0,high
64,0.0,high
65,0.0,high
66,0.0,high
67,0.0,high
68,0.0,high
69,0.0,high
70,0.0,high
71,0.0,high
72,0.0,high
73,0.0,high
74,0.0,high
75,0.0,high
76,0.0,high
77,0.0,high
78,0.0,high
79,0.0,high
80,0.0,high
81,0.0,high
82,0.0,high
83,0.0,high
84,0.0,high
85,0.0,high
86,0.0,high
87,0.0,high
88,0.0,high
89,0.0,high
90,0.0,high
91,0.0,high
92,0.0,high
93,0.0,high
94,0.0,high
95,0.0,high
96,0.0,high
97,0.0,high
98,4.0,high
99,4.0,high
100,0.0,high
101,0.0,high
102,0.0,high
103,0.0,high
104,0.0,high
105,0.0,high
106,0.0,high
107,0.0,high
108,0.0,high
109,4.0,high
110,0.0,high
111,0.0,high
112,0.0,high
113,0.0,high
114,0.0,high
115,0.0,high
116,4.0,high
117,0.0,high
118,0.0,high
119,0.0,high
120,0.0,high
121,0.0,high
122,4.0,high
123,4.0,high
124,4.0,high
125,4.0,high
126,4.0,high
127,4.0,high
128,0.0,high
129,0.0,high
130,0.0,high
131,4.0,high
132,4.0,high
133,4.0,high
134,4.0,high
135,4.0,high
136,4.0,high
137,4.0,high
138,0.0,high
139,0.0,high
140,0.0,high
141,0.0,high
142,0.0,high
143,0.0,high
144,0.0,high
145,0.0,high
146,4.0,high
147,4.0,high
148,4.0,high
149,4.0,high
150,4.0,high
151,4.0,high
152,4.0,high
153,4.0,high
154,4.0,high
155,4.0,high
156,0.0,high
157,0.0,high
158,0.0,high
159,0.0,high
160,0.0,high
161,0.0,high
162,0.0,high
163,0.0,high
164,0.0,high
165,0.0,high
166,0.0,high
167,0.0,high
168,0.0,high
169,0.0,high
170,0.0,high
171,0.0,high
172,0.0,high
173,0.0,high
174,2.0,high
175,2.0,high
176,2.0,high
177,2.0,high
178,2.0,high
179,2.0,high
180,2.0,high
181,2.0,high
182,2.0,high
183,2.0,high
184,2.0,high
185,2.0,high
186,2.0,high
187,2.0,high
188,2.0,high
189,2.0,high
190,2.0,high
191,2.0,high
192,2.0,high
193,2.0,high
194,2.0,high
195,2.0,high
196,2.0,high
197,2.0,high
198,2.0,high
199,2.0,high
200,2.0,high
201,2.0,high
202,2.0,high
203,2.0,high
204,2.0,high
205,2.0,high
206,2.0,high
207,2.0,high
208,2.0,high
209,2.0,high
210,2.0,high
211,2.0,high
212,2.0,high
213,2.0,high
214,2.0,high
215,2.0,high
216,2.0,high
217,2.0,high
218,2.0,high
219,2.0,high
220,2.0,high
221,2.0,high
222,2.0,high
223,2.0,high
224,2.0,high
225,2.0,high
226,0.0,high
227,0.0,high
228,0.0,high
229,4.0,high
230,4.0,high
231,4.0,high
232,0.0,high
233,0.0,high
234,4.0,high
235,4.0,high
236,4.0,high
237,4.0,high
238,4.0,high
239,4.0,high
240,0.0,high
241,0.0,high
242,4.0,high
243,4.0,high
244,0.0,high
245,0.0,high
246,0.0,high
247,0.0,high
248,4.0,high
249,4.0,high
250,4.0,high
251,4.0,high
252,4.0,high
253,4.0,high
254,4.0,high
255,4.0,high
256,4.0,high
257,4.0,high
258,4.0,high
259,4.0,high
260,0.0,high
261,0.0,high
262,0.0,high
263,0.0,high
264,0.0,high
265,0.0,high
266,0.0,high
267,0.0,high
268,0.0,high
269,0.0,high
270,0.0,high
271,0.0,high
272,2.0,high
273,0.0,high
274,0.0,high
275,0.0,high
276,0.0,high
277,0.0,high
278,0.0,high
279,0.0,high
280,0.0,high
281,0.0,high
282,0.0,high
283,0.0,high
284,0.0,high
285,0.0,high
286,0.0,high
287,0.0,high
288,0.0,high
289,0.0,high
290,0.0,high
291,0.0,high
292,0.0,high
293,0.0,high
294,0.0,high
295,0.0,high
296,0.0,high
297,0.0,high
298,0.0,high
299,0.0,high
300,0.0,high
301,0.0,high
302,0.0,high
303,0.0,high
304,4.0,high
305,4.0,high
306,4.0,high
307,0.0,high
308,4.0,high
309,4.0,high
310,4.0,high
311,4.0,high
312,4.0,high
313,4.0,high
314,0.0,high
315,0.0,high
316,4.0,high
317,4.0,high
318,0.0,high
319,0.0,high
320,0.0,high
